country,source_invasion_cost,source_rank,overall_rank,invasion_threat,invasion_cost,total_cost_rank,gdp_mean,gdp_proportion,prop_gdp_rank
United Kingdom,NA,NA,44,0.7792,NA,NA,NA,NA,NA
Burkina Faso,NA,NA,55,0.7276,NA,NA,NA,NA,NA
Sri Lanka,NA,NA,58,0.709,NA,NA,NA,NA,NA
New Zealand,NA,NA,63,0.6932,NA,NA,NA,NA,NA
Georgia (Republic),NA,NA,64,0.6893,NA,NA,NA,NA,NA
Congo (Republic of),NA,NA,65,0.6867,NA,NA,NA,NA,NA
Cape Verde,NA,NA,74,0.6448,NA,NA,NA,NA,NA
Trinidad and Tobago,NA,NA,77,0.6334,NA,NA,NA,NA,NA
Equatorial Guinea,NA,NA,90,0.5909,NA,NA,NA,NA,NA
Saudi Arabia,NA,NA,110,0.4519,NA,NA,NA,NA,NA
Costa Rica,NA,NA,113,0.4442,NA,NA,NA,NA,NA
Russian Federation,NA,NA,117,0.3823,NA,NA,NA,NA,NA
